Full Name,Merrill Lynch Option Volatility Estimate MOVE Index
Series Name,
Series ID,BBG-BBG-MOVE_Index
Path,
Frequency,일
Unit,US dollar
Preprocess,
가중치,
2023-06-30,110.64
2023-06-29,113.45
2023-06-28,108.3
2023-06-27,110.85
2023-06-26,109.02
2023-06-23,105.74
2023-06-22,107.7
2023-06-21,110.84
2023-06-20,114.19
2023-06-16,104.43
2023-06-15,107.34
2023-06-14,114.37
2023-06-13,118.8
2023-06-12,119.8
2023-06-09,115.77
2023-06-08,115.11
2023-06-07,120.5
2023-06-06,114.42
2023-06-05,119.08
2023-06-02,120.95
2023-06-01,124.63
2023-05-31,136.02
2023-05-30,141.36
2023-05-26,145.37
2023-05-25,139.54
2023-05-24,132.29
2023-05-23,131.7
2023-05-22,132.29
2023-05-19,127.51
2023-05-18,122.5
2023-05-17,120.78
2023-05-16,130.3
2023-05-15,127.89
2023-05-12,120.52
2023-05-11,128.21
2023-05-10,125.6
2023-05-09,133.93
2023-05-08,135.07
2023-05-05,130.21
2023-05-04,140.71
2023-05-03,134.5
2023-05-02,137.55
2023-05-01,128.18
2023-04-28,122.46
2023-04-27,122.43
2023-04-26,130.39
2023-04-25,137.13
2023-04-24,126.28
2023-04-21,120.84
2023-04-20,120.61
2023-04-19,124.02
2023-04-18,122.78
2023-04-17,122.69
2023-04-14,118.84
2023-04-13,119.95
2023-04-12,129.68
2023-04-11,139.78
2023-04-10,143
2023-04-07,139.2
2023-04-06,147.73
2023-04-05,153.9
2023-04-04,147.75
2023-04-03,138.17
2023-03-31,135.93
2023-03-30,141.24
2023-03-29,150.58
2023-03-28,155.96
2023-03-27,161.67
2023-03-24,173.66
2023-03-23,151.4
2023-03-22,142.84
2023-03-21,162.31
2023-03-20,182.64
2023-03-17,180.11
2023-03-16,167.96
2023-03-15,198.71
2023-03-14,169.65
2023-03-13,173.59
2023-03-10,140.06
2023-03-09,129.28
2023-03-08,129.76
2023-03-07,133.33
2023-03-06,128.19
2023-03-03,122.52
2023-03-02,124.12
2023-03-01,121.08
2023-02-28,123.6
2023-02-27,120.03
2023-02-24,122.84
2023-02-23,117.45
2023-02-22,118.21
2023-02-21,119.62
2023-02-17,110.11
2023-02-16,111.01
2023-02-15,108.64
2023-02-14,110.59
2023-02-13,110.67
2023-02-10,109.63
2023-02-09,102.45
2023-02-08,100.75
2023-02-07,103.15
2023-02-06,105.63
2023-02-03,98.99
2023-02-02,97.76
2023-02-01,97.33
2023-01-31,99.54
2023-01-30,103.77
2023-01-27,100.7
2023-01-26,104.28
2023-01-25,107.74
2023-01-24,112.76
2023-01-23,114.69
2023-01-20,114.76
2023-01-19,114.53
2023-01-18,112.61
2023-01-17,122.27
2023-01-13,113.55
2023-01-12,112.34
2023-01-11,115.17
2023-01-10,119.52
2023-01-09,116.67
2023-01-06,113.87
2023-01-05,119.53
2023-01-04,125.78
2023-01-03,129.97
2022-12-30,121.61
2022-12-29,120.25
2022-12-28,120.07
2022-12-27,124.89
2022-12-23,113.17
2022-12-22,112.05
2022-12-21,115
2022-12-20,119.92
2022-12-19,118.32
2022-12-16,113.65
2022-12-15,111.26
2022-12-14,120.26
2022-12-13,135.08
2022-12-12,141.93
2022-12-09,132.79
2022-12-08,129.54
2022-12-07,131.1
2022-12-06,129.09
2022-12-05,126.5
2022-12-02,118.62
2022-12-01,119.77
2022-11-30,127.27
2022-11-29,131.23
2022-11-28,131.73
2022-11-25,129.6
2022-11-23,136.2
2022-11-22,133.53
2022-11-21,132.13
2022-11-18,129.33
2022-11-17,132.18
2022-11-16,130.83
2022-11-15,128.62
2022-11-14,119.99
2022-11-10,111.69
2022-11-09,124.4
2022-11-08,126.33
2022-11-07,128.33
2022-11-04,128.44
2022-11-03,136.28
2022-11-02,141.17
2022-11-01,148.42
2022-10-31,147.92
2022-10-28,144.6
2022-10-27,142.78
2022-10-26,140.2
2022-10-25,147.78
2022-10-24,154.02
2022-10-21,156.95
2022-10-20,155.61
2022-10-19,147.73
2022-10-18,145.79
2022-10-17,150.42
2022-10-14,152.89
2022-10-13,155.08
2022-10-12,160.72
2022-10-11,155.57
2022-10-07,148.46
2022-10-06,153.29
2022-10-05,152.01
2022-10-04,151.21
2022-10-03,152.94
2022-09-30,141.89
2022-09-29,148.14
2022-09-28,158.99
2022-09-27,158.12
2022-09-26,153.61
2022-09-23,137.28
2022-09-22,131.93
2022-09-21,130.54
2022-09-20,134.66
2022-09-19,133.79
2022-09-16,124.95
2022-09-15,124.07
2022-09-14,125.35
2022-09-13,128.87
2022-09-12,123.07
2022-09-09,121.54
2022-09-08,124.14
2022-09-07,133.12
2022-09-06,133.54
2022-09-02,120.72
2022-09-01,126.58
2022-08-31,124.84
2022-08-30,127.69
2022-08-29,130.14
2022-08-26,122.95
2022-08-25,126.33
2022-08-24,133.13
2022-08-23,133.85
2022-08-22,135.89
2022-08-19,123.81
2022-08-18,120.26
2022-08-17,117.7
2022-08-16,116.83
2022-08-15,113.82
2022-08-12,106.28
2022-08-11,111.11
2022-08-10,115.26
2022-08-09,125.12
2022-08-08,124.12
2022-08-05,122.58
2022-08-04,120.57
2022-08-03,122.04
2022-08-02,129.23
2022-08-01,120.5
2022-07-29,116.36
2022-07-28,119.93
2022-07-27,117.28
2022-07-26,128.55
2022-07-25,128.27
2022-07-22,123.7
2022-07-21,121.15
2022-07-20,122.9
2022-07-19,124.7
2022-07-18,127.69
2022-07-15,129.85
2022-07-14,137.76
2022-07-13,136.1
2022-07-12,148.11
2022-07-11,147.72
2022-07-08,145.25
2022-07-07,149.71
2022-07-06,151.14
2022-07-05,156.16
2022-07-01,144.17
2022-06-30,135.5
2022-06-29,130.43
2022-06-28,135.22
2022-06-27,133.22
2022-06-24,127
2022-06-23,125.98
2022-06-22,129.94
2022-06-21,138.91
2022-06-17,133.75
2022-06-16,138.1
2022-06-15,135.93
2022-06-14,144.09
2022-06-13,139.21
2022-06-10,114.23
2022-06-09,105.29
2022-06-08,105.29
2022-06-07,102.61
2022-06-06,102.26
2022-06-03,97.73
2022-06-02,99.27
2022-06-01,109.38
2022-05-31,107.12
2022-05-27,98.48
2022-05-26,102.49
2022-05-25,105.69
2022-05-24,111.15
2022-05-23,110.19
2022-05-20,111.1
2022-05-19,115.05
2022-05-18,114.86
2022-05-17,119.46
2022-05-16,117.95
2022-05-13,114.61
2022-05-12,118.73
2022-05-11,118.05
2022-05-10,126.76
2022-05-09,125.22
2022-05-06,121.42
2022-05-05,122.72
2022-05-04,121.99
2022-05-03,126.46
2022-05-02,135.17
2022-04-29,128.4
2022-04-28,128.74
2022-04-27,130.11
2022-04-26,129.27
2022-04-25,131.63
2022-04-22,128.12
2022-04-21,130.69
2022-04-20,125.12
2022-04-19,122.74
2022-04-18,122.32
2022-04-14,119.66
2022-04-13,116.33
2022-04-12,117.79
2022-04-11,129.87
2022-04-08,124.86
2022-04-07,122.67
2022-04-06,123.92
2022-04-05,116.37
2022-04-04,108.37
2022-04-01,108.34
2022-03-31,106.88
2022-03-30,112.98
2022-03-29,117.92
2022-03-28,129.28
2022-03-25,125.27
2022-03-24,113.14
2022-03-23,105.72
2022-03-22,105.38
2022-03-21,101.94
2022-03-18,91.77
2022-03-17,91.76
2022-03-16,100.57
2022-03-15,101.03
2022-03-14,105.08
2022-03-11,99.03
2022-03-10,105.31
2022-03-09,110.9
2022-03-08,133.37
2022-03-07,140.03
2022-03-04,131.82
2022-03-03,115.18
2022-03-02,110.28
2022-03-01,118.26
2022-02-28,100.4
2022-02-25,93.34
2022-02-24,100.75
2022-02-23,95.15
2022-02-22,95.54
2022-02-18,94.36
2022-02-17,96.17
2022-02-16,92.74
2022-02-15,94
2022-02-14,102.28
